Date,PG,KO,PEP,WMT,COST,MO,PM,MDLZ,KMB,CL,GIS,HSY,SYY,KR,TAP,STZ,EL,CPB,CHD
2015-02-12,63.72482681274414,29.804603576660156,72.07524108886719,23.263856887817383,123.33380126953125,27.838136672973633,48.92205810546875,29.238445281982422,75.92133331298828,54.30668258666992,36.38116455078125,82.04908752441406,29.95392608642578,29.369882583618164,56.44230270385742,97.17339324951172,70.34310150146484,34.07279586791992,36.12482452392578
2015-02-13,63.62854766845703,29.677391052246094,71.25581359863281,23.2421932220459,122.78289031982422,27.44717788696289,48.442710876464844,29.080322265625,76.48637390136719,54.485504150390625,36.07185363769531,81.55677032470703,29.86329460144043,29.536096572875977,55.70790481567383,96.76249694824219,71.71672058105469,33.47300720214844,36.415191650390625
2015-02-16,,,,,,,,,,,,,,,,,,,
2015-02-17,63.324851989746094,29.550167083740234,70.70231628417969,23.282817840576172,123.14186096191406,27.637651443481445,48.34918212890625,29.372867584228516,76.67243194580078,54.57102966308594,35.975643157958984,81.4721450805664,29.885953903198242,29.694190979003906,58.06412887573242,97.70417785644531,71.09944915771484,33.4872932434082,36.540863037109375
2015-02-18,63.89519500732422,29.493637084960938,71.39956665039062,23.372196197509766,122.89141845703125,27.687767028808594,48.518707275390625,29.206815719604492,76.96871185302734,54.843143463134766,36.3468017578125,82.27218627929688,30.142736434936523,29.76715850830078,58.33953094482422,98.17499542236328,70.85603332519531,33.787174224853516,36.73585510253906
2015-02-19,63.11744689941406,29.762195587158203,70.96111297607422,22.621923446655273,122.42398834228516,27.808063507080078,48.29655456542969,29.246347427368164,76.2520751953125,54.586570739746094,36.73859405517578,81.50289916992188,29.123132705688477,29.365833282470703,57.742820739746094,98.2606430053711,70.49088287353516,33.29450225830078,36.49752426147461
2015-02-20,62.865577697753906,29.663259506225586,71.2054672241211,22.83319664001465,123.15016174316406,27.87322235107422,48.542076110839844,29.230548858642578,76.45882415771484,54.609893798828125,36.7523307800293,82.49527740478516,29.95392608642578,29.50771713256836,58.62258529663086,99.09101104736328,71.11682891845703,33.30164337158203,36.99589538574219
2015-02-23,63.250762939453125,29.578441619873047,71.4858169555664,22.91445541381836,123.85967254638672,27.823102951049805,48.45439529418945,29.246347427368164,76.4794692993164,54.95199203491211,36.766082763671875,81.9270248413086,29.908607482910156,29.649593353271484,58.75263595581055,98.40616607666016,71.41244506835938,33.70863723754883,37.225563049316406
2015-02-24,63.33224105834961,29.77634048461914,71.57926177978516,22.906328201293945,123.70944213867188,27.928359985351562,48.816810607910156,29.26217269897461,76.06604766845703,55.20854568481445,36.71797180175781,81.74919891357422,29.86329460144043,29.5604190826416,58.57667541503906,99.0567855834961,71.09076690673828,33.71577072143555,37.32958221435547
2015-02-25,63.30262756347656,29.71980857849121,71.52177429199219,22.635469436645508,123.1001205444336,27.888263702392578,48.79343795776367,28.985429763793945,75.90755462646484,55.20854568481445,36.800453186035156,80.65911102294922,29.810420989990234,29.329349517822266,58.207489013671875,97.7127456665039,71.39595031738281,33.680076599121094,37.06521987915039
