Date,XOM,CVX,COP,EOG,SLB,HAL,DVN,OXY,MPC,VLO,PSX,KMI,WMB,EQT
2016-06-10,59.084014892578125,68.03816986083984,33.19316482543945,60.4101676940918,59.9035530090332,36.92751693725586,24.838563919067383,57.68881607055664,27.08100128173828,36.55374526977539,55.819679260253906,10.743657112121582,13.159400939941406,37.83484649658203
2016-06-13,59.484527587890625,68.11824035644531,32.72334671020508,60.284244537353516,59.224647521972656,36.84431457519531,25.34865379333496,57.535888671875,25.265670776367188,34.904964447021484,54.93430709838867,10.663895606994629,13.01610279083252,37.55425262451172
2016-06-14,59.37947463989258,67.57115936279297,33.05147171020508,61.4619140625,59.08735656738281,36.60301971435547,25.185705184936523,57.436500549316406,24.41008949279785,34.747615814208984,55.00403594970703,10.731389999389648,12.645923614501953,37.42900085449219
2016-06-15,59.20217514038086,67.13748931884766,32.5965690612793,61.061973571777344,58.62204360961914,36.59469223022461,24.85981559753418,57.230064392089844,24.700252532958984,35.08968734741211,55.171348571777344,10.829560279846191,12.99819564819336,37.464073181152344
2016-06-16,59.89820861816406,67.43106842041016,32.18640899658203,59.38802719116211,58.23300552368164,35.93735885620117,24.65435791015625,56.92420959472656,24.841602325439453,35.431758880615234,55.373512268066406,10.798882484436035,13.613347053527832,37.47909164428711
2016-06-17,59.569889068603516,67.7646255493164,32.92469024658203,59.913917541503906,59.117855072021484,36.702857971191406,25.4903507232666,57.3065071105957,24.923452377319336,35.37702178955078,54.725189208984375,11.068854331970215,13.859415054321289,38.59144592285156
2016-06-20,59.832557678222656,68.45850372314453,33.327392578125,61.61749267578125,59.18651580810547,36.43659973144531,26.43968391418457,58.18579864501953,25.73438835144043,35.35650634765625,55.115577697753906,11.105666160583496,13.73022747039795,39.042396545410156
2016-06-21,60.101768493652344,68.8788070678711,33.4094352722168,62.89146423339844,59.895931243896484,37.12722396850586,27.056039810180664,58.99626541137695,26.188217163085938,35.8969841003418,55.317752838134766,11.529033660888672,13.330376625061035,39.4232063293457
2016-06-22,59.86539077758789,68.2450180053711,32.805381774902344,61.921180725097656,59.70521545410156,37.160518646240234,26.8789119720459,58.95041275024414,26.23285484313965,36.12958526611328,55.4502067565918,11.3572359085083,12.770586967468262,39.30795669555664
2016-06-23,60.279048919677734,69.67943572998047,34.028411865234375,62.587772369384766,60.712127685546875,38.14236831665039,27.488204956054688,59.87556838989258,27.244670867919922,36.74531555175781,56.37738037109375,11.596528053283691,13.398039817810059,39.463287353515625
2016-06-24,58.696563720703125,67.98478698730469,32.1938591003418,60.03983688354492,58.47710418701172,36.54476547241211,25.398250579833984,57.551185607910156,26.284931182861328,35.95854568481445,54.8088493347168,11.03817367553711,13.10892391204834,38.42108154296875
2016-06-27,58.348541259765625,66.95735931396484,30.411529541015625,58.210330963134766,57.26423263549805,34.84733581542969,23.910486221313477,55.90729904174805,24.499380111694336,34.98023223876953,53.609771728515625,10.676166534423828,12.303071975708008,38.09539794921875
2016-06-28,59.69465637207031,67.80467224121094,31.2840576171875,60.55089569091797,58.45420455932617,36.00392532348633,25.49742889404297,56.55720138549805,26.56021499633789,35.4591178894043,54.89946365356445,10.866374969482422,12.696770668029785,39.68876266479492
2016-06-29,60.71242904663086,68.99891662597656,32.7457275390625,61.80265808105469,59.369606018066406,37.102272033691406,25.993345260620117,57.41355895996094,27.72081756591797,35.52070236206055,55.56171798706055,11.369504928588867,12.819802284240723,38.56137466430664
2016-06-30,61.552913665771484,69.93963623046875,32.5145263671875,61.78783416748047,60.323116302490234,37.68471145629883,25.681621551513672,57.77291488647461,28.241609573364258,34.89128875732422,55.31076431274414,11.486079216003418,13.305770874023438,38.79688262939453
2016-07-01,61.61859893798828,69.48594665527344,32.44741439819336,62.795166015625,60.65874099731445,37.909385681152344,26.531780242919922,57.857025146484375,29.216230392456055,35.18547058105469,55.617496490478516,11.473812103271484,12.647558212280273,39.74889373779297
2016-07-04,,,,,,,,,,,,,,
