Date,JPM,BAC,C,WFC,GS,MS,BLK,BK,STT,TROW,SCHW,AXP,COF,USB,PNC,TFC,CMA,MTB,RF,CB,TRV,AIG,MET,PRU
2019-08-01,94.95567321777344,25.279212951660156,54.157981872558594,39.49363708496094,181.31507873535156,35.26446533203125,387.01727294921875,38.27019119262695,45.40800857543945,86.024658203125,37.66423034667969,114.1734848022461,81.66110229492188,42.78269577026367,109.9154052734375,36.939483642578125,50.25440216064453,126.32743835449219,11.664630889892578,136.03460693359375,127.37268829345703,46.499210357666016,38.780296325683594,65.74239349365234
2019-08-02,94.947265625,25.184919357299805,53.97435760498047,39.812538146972656,179.40423583984375,34.599098205566406,383.82318115234375,38.32014465332031,45.46519470214844,85.69760131835938,37.1716423034668,114.37591552734375,80.7178726196289,42.58294677734375,109.67691802978516,36.73107147216797,49.872398376464844,127.83594512939453,11.741223335266113,137.03353881835938,128.36874389648438,46.17623519897461,37.94579315185547,63.9163932800293
2019-08-05,92.1222915649414,24.070545196533203,52.03443908691406,38.7215461730957,172.81483459472656,33.26015090942383,369.3511962890625,37.51262664794922,43.94586944580078,82.31793975830078,35.42936706542969,111.07279968261719,77.8161392211914,40.754573822021484,105.67017364501953,35.25736618041992,47.33066177368164,124.86754608154297,11.15147876739502,133.63180541992188,125.75626373291016,44.88435363769531,36.9090690612793,62.032691955566406
2019-08-06,92.84534454345703,24.36199951171875,52.88863754272461,39.38453674316406,176.52511596679688,33.85980987548828,373.11041259765625,37.83729553222656,43.7008171081543,83.52497100830078,35.949310302734375,112.75654602050781,79.32536315917969,41.146366119384766,106.83087921142578,35.55507278442383,47.84489059448242,125.51641845703125,11.297000885009766,136.87156677246094,127.52994537353516,46.2187385559082,37.94578170776367,62.23476028442383
2019-08-07,90.8275146484375,23.907676696777344,52.00251388549805,38.44461441040039,176.29379272460938,33.317649841308594,368.55487060546875,37.23789596557617,42.88397979736328,83.35365295410156,34.280006408691406,113.66742706298828,79.01094818115234,40.416542053222656,103.1579818725586,35.078731536865234,46.05978775024414,122.1424789428711,11.0902099609375,138.72544860839844,128.75314331054688,46.244232177734375,37.52463150024414,61.46973419189453
2019-08-08,92.3661117553711,24.327707290649414,53.27983093261719,39.378143310546875,177.37342834472656,33.90087127685547,374.7460021972656,37.937191009521484,43.62728500366211,85.85330963134766,34.31665802001953,115.27758026123047,79.7386474609375,40.685420989990234,104.61284637451172,35.346675872802734,46.44179153442383,123.98353576660156,11.274024963378906,141.99220275878906,129.50460815429688,48.29254913330078,38.204978942871094,62.090423583984375
2019-08-09,92.26522064208984,24.284847259521484,52.72897720336914,39.29326629638672,177.2877655029297,34.08980178833008,365.07806396484375,38.137001037597656,43.25972366333008,84.60739135742188,33.785186767578125,116.08726501464844,78.79534912109375,40.554832458496094,105.20906066894531,35.24247360229492,46.00837707519531,124.08893585205078,11.235727310180664,143.64810180664062,130.24722290039062,47.816593170166016,37.9943962097168,61.217140197753906
2019-08-12,90.53326416015625,23.693370819091797,51.28401184082031,38.5549430847168,172.67774963378906,33.15336227416992,356.60906982421875,36.94651412963867,42.124324798583984,83.01880645751953,33.363677978515625,114.04467010498047,76.98065185546875,40.132301330566406,102.26759338378906,34.72890090942383,44.9578857421875,121.54229736328125,10.952346801757812,141.32626342773438,127.95808410644531,46.81368637084961,37.16824722290039,59.70151901245117
2019-08-13,91.92890930175781,23.76194190979004,51.755027770996094,39.00473403930664,174.8970947265625,33.42444610595703,364.2218017578125,36.355445861816406,42.04263687133789,84.53729248046875,34.527427673339844,116.22525787353516,78.3461685180664,40.5855598449707,103.94503784179688,35.11970901489258,45.45741653442383,122.72642517089844,10.929370880126953,142.93714904785156,129.50460815429688,47.69760513305664,38.01059341430664,60.322181701660156
2019-08-14,88.11186981201172,22.647567749023438,49.024776458740234,37.31589126586914,167.5707550048828,32.307281494140625,352.2674255371094,34.93185806274414,40.53965759277344,82.04539489746094,33.528621673583984,112.84855651855469,74.96831512451172,39.10287857055664,99.07176208496094,33.999908447265625,43.907405853271484,117.40599060058594,10.46217155456543,137.41152954101562,125.36309814453125,45.377323150634766,36.34211730957031,58.02709197998047
